Temperature,Ice Cream Profits
78,62.2
79,59.7
79,64.82
79,57.06
79,62.52
79,59.93
79,61.71
79,59.49
79,67.42
79,56.34
79,59.69
79,57.44
79,64.63
80,55.47
80,61.22
80,62.79
80,59.91
80,61.59
80,63.46
80,64.45
80,65.42
80,61.82
81,64.36
81,58.11
81,59.47
81,65.86
81,61.52
81,62.12
81,64.23
81,62.36
81,62.32
82,64.97
82,66.15
82,64.02
82,63.41
82,61.85
82,65.49
82,64.39
82,66.06
82,64.86
82,62.85
82,66.57
83,65.54
83,62.58
83,63.29
83,64.38
83,60.78
83,65.66
84,66.61
84,65.12
84,63.13
84,63.35
84,65.4
84,65.41
84,68.28
84,64.1
84,66.26
84,63.63
84,67.58
84,68.54
84,65.2
85,67.93
85,67.88
85,69.71
85,64.22
85,61.82
85,68.28
85,62.99
85,64.96
85,65.99
85,70.3
85,64.31
86,69.59
86,68.35
86,69.66
86,71.46
86,69.9
86,69.19
86,67.97
86,64.85
87,70.43
87,68.48
87,70.29
87,65.19
87,68
87,70.64
88,69.67
88,74.69
88,69.78
89,73.16
89,71.51
89,73.32
89,74.09
90,71.12
90,67.58
90,77.39
90,75.11
90,74.8
90,73.94
90,75.94
91,79.31
91,81.81
91,75.58
92,78.2
92,75.6
92,75.04
92,77.41
93,79.76
93,77.18
94,80.94
94,75.7
95,78.2
95,80.75
95,80.97
95,80.98
96,80.02
96,82.83
96,80.95
97,82.5
98,84.12
99,85.13
99,87.08
99,89.29
101,81.91
101,85.02
